frame.number,frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len
415,4.285183000,192.168.2.20,192.168.2.99,1935,56806,83
416,4.289085000,192.168.2.20,192.168.2.20,37432,1935,80
417,4.289167000,192.168.2.20,192.168.2.20,1935,37432,72
418,4.289198000,192.168.2.20,192.168.2.20,37432,1935,3193
419,4.289231000,192.168.2.20,192.168.2.20,1935,37432,72
420,4.290480000,192.168.2.99,192.168.2.20,56806,1935,72
421,4.322335000,192.168.2.20,192.168.2.20,37432,1935,80
422,4.322442000,192.168.2.20,192.168.2.20,1935,37432,72
423,4.322472000,192.168.2.20,192.168.2.20,37432,1935,812
424,4.322498000,192.168.2.20,192.168.2.20,1935,37432,72
